gds,png,gds_bytes,png_bytes,width,height,status,error
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p2-sAREA_0/final/mag_gds/tt_um_flowguard_stress.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p2-sAREA_0__final__mag_gds__tt_um_flowguard_stress.magic.gds.png,2173556,45177,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p0-g0p2-sAREA_0/final/klayout_gds/tt_um_flowguard_stress.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p0-g0p2-sAREA_0__final__klayout_gds__tt_um_flowguard_stress.klayout.gds.png,1293230,46542,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p05-sAREA_2/final/gds/tt_um_flowguard_stress.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p05-sAREA_2__final__gds__tt_um_flowguard_stress.gds.png,2284710,45078,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p05-sAREA_2/final/mag_gds/tt_um_flowguard_stress.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p05-sAREA_2__final__mag_gds__tt_um_flowguard_stress.magic.gds.png,2284710,45078,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p05-sAREA_2/final/klayout_gds/tt_um_flowguard_stress.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p05-sAREA_2__final__klayout_gds__tt_um_flowguard_stress.klayout.gds.png,1390658,45788,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p1-sAREA_0/final/gds/tt_um_flowguard_stress.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p1-sAREA_0__final__gds__tt_um_flowguard_stress.gds.png,2214524,45174,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p1-sAREA_0/final/mag_gds/tt_um_flowguard_stress.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p1-sAREA_0__final__mag_gds__tt_um_flowguard_stress.magic.gds.png,2214524,45174,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p1-sAREA_0/final/klayout_gds/tt_um_flowguard_stress.klayout.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p1-sAREA_0__final__klayout_gds__tt_um_flowguard_stress.klayout.gds.png,1332390,46493,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p15-sAREA_1/final/gds/tt_um_flowguard_stress.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p15-sAREA_1__final__gds__tt_um_flowguard_stress.gds.png,2268900,44027,1000,312,success,
/home/ubuntu/FlowGuard-recovery/results/clock_hunt_15p8ns_v1/runs/trial_clock15p8-u30-d38-p2-g0p15-sAREA_1/final/mag_gds/tt_um_flowguard_stress.magic.gds,/tmp/banyancode/gds-renders/FlowGuard-recovery__results__clock_hunt_15p8ns_v1__runs__trial_clock15p8-u30-d38-p2-g0p15-sAREA_1__final__mag_gds__tt_um_flowguard_stress.magic.gds.png,2268900,44027,1000,312,success,
